School,25th_MCAT,med_MCAT,75th_MCAT,med_GPA,IS_apps,OOS_apps,IS_II,OOS_II,IS_mat,OOS_mat,Public_Private,latitude,longitude,State,OOS_friendly
Albert Einstein,514,516,518,3.88,1783,7167,350,598,90,92,Private,40.85060157,-73.84593439,NY,Yes
Baylor,515,519,522,3.94,3972,1530,949,175,187,39,Private,29.80022139,-95.40930583,TX,
BU,515,518,521,3.88,872,9010,120,831,40,102,Private,42.33655496,-71.07244619,MA,Yes
CWRU SOM,516,519,521,3.9,739,7219,119,888,38,171,Private,41.50516831,-81.62031719,OH,Yes
Columbia,519,522,524,3.95,1077,5711,151,625,24,114,Private,40.84476714,-73.94162806,NY,Yes
Creighton,512,515,517,3.89,153,6060,32,870,10,243,Private,41.26806815,-95.95090888,NE,
Hofstra/Northwell,515,518,521,3.9,1551,3467,357,465,64,35,Private,40.71768837,-73.5979512,NY,
Drexel,510,512,514,3.8,1069,14759,348,1111,99,205,Private,40.01966402,-75.17992218,PA,
Duke,516,520,522,3.92,645,7328,71,540,16,98,Private,36.00651108,-78.93812065,NC,Yes
Emory,513,517,520,3.84,925,11254,151,486,55,81,Private,34.32159068,-84.31667617,GA,Yes
Quinnipiac,509,513,516,3.78,373,7160,44,446,13,82,Private,41.41476655,-72.83459042,CT,
Dartmouth,513,516,519,3.82,68,7696,13,604,3,84,Private,43.70889114,-72.2851085,NH,Yes
GWU,509,512,515,3.81,67,15214,38,815,4,170,Private,38.90037141,-77.05098666,DC,Yes
Georgetown,511,515,518,3.89,66,15057,8,1073,5,189,Private,38.9119937,-77.07700895,DC,Yes
Hackensack,512,515,518,3.82,1236,4930,262,391,84,78,Private,40.83362519,-74.15532478,NJ,
Harvard,518,521,523,3.96,603,6768,90,672,19,135,Private,42.33564708,-71.10420964,MA,Yes
Icahn ,516,519,522,3.92,1441,6531,143,555,32,86,Private,40.79014986,-73.95375213,NY,Yes
UBuffalo,506,511,515,3.79,2146,3862,457,110,165,17,Public,42.8998569,-78.86921133,NY,
JHU,519,521,524,3.96,392,5197,50,521,15,103,Private,39.29924506,-76.59329409,MD,Yes
KP,513,17,521,3.85,3838,3810,346,365,27,23,Private,34.14453405,-118.1409652,CA,
USC,513,517,519,3.86,4290,4031,288,119,148,38,Private,34.08871728,-118.2028531,CA,
Temple,509,512,516,3.79,1062,12262,307,831,84,137,Private,40.00703897,-75.15213343,PA,
Mayo Clinic,517,521,523,3.95,335,4992,139,616,10,96,Private,44.46648916,-92.37155061,MN,Yes
Northwestern,518,521,523,3.93,845,6607,100,602,41,104,Private,41.89626552,-87.61713389,IL,Yes
Oakland,508,511,515,3.91,1367,6167,200,300,69,56,Private,42.6746719,-83.2152213,MI,
OSU,513,516,519,3.9,1136,6069,250,380,108,90,Public,39.99518448,-83.01505186,OH,Yes
UPenn,519,522,524,3.96,490,5118,64,780,18,136,Private,39.94793631,-75.19255509,PA,Yes
Stony Brook,514,517,520,3.89,2027,2838,552,258,105,27,Public,40.90877033,-73.11498359,NY,
UVM,509,513,516,3.75,82,8445,64,549,33,89,Public,44.47839436,-73.1937427,VT,Yes
SLU,509,513,517,3.93,397,5212,127,663,60,117,Private,38.6227692,-90.23773033,MO,Yes
Sidney Kimmel,511,514,518,3.86,1003,9115,132,448,78,180,Private,39.94884635,-75.15786747,PA,
UUtah,506,511,516,3.82,514,2317,206,154,91,33,Public,40.76992161,-111.8357506,UT,
Stanford,516,519,522,3.92,2804,5385,142,338,27,54,Private,37.43381031,-122.1739534,CA,Yes
Brown,514,517,520,3.87,82,8276,16,371,16,127,Private,41.81894585,-71.40846224,RI,Yes
Tufts,511,515,519,3.85,1070,12335,143,641,53,148,Private,42.35024598,-71.06231686,MA,Yes
UA Phoenix,515,518,520,3.87,701,5170,144,298,60,60,Public,33.45285148,-112.0658254,AZ,
UCD,506,512,516,3.69,4966,2736,530,32,127,6,Public,38.55313989,-121.4525691,CA,No
UCI,513,516,519,3.89,4978,1981,429,102,98,16,Public,33.64442625,-117.8517589,CA,
UCLA,510,514,519,3.85,5909,6351,470,277,98,63,Public,34.06446063,-118.4423347,CA,
UCR,505,510,515,3.75,4528,1464,287,4,82,1,Public,33.97391914,-117.3239943,CA,No
UCSD,512,516,520,3.86,4587,3833,610,311,108,33,Public,33.77421493,-117.3678167,CA,
UCSF,513,517,521,3.89,4151,4579,330,255,119,52,Public,37.76291776,-122.4596466,CA,Yes
UChicago,517,521,523,3.94,720,5445,65,551,15,71,Private,41.79167138,-87.60271733,IL,Yes
UCincinnati,513,517,520,3.91,1081,5084,272,371,101,76,Public,39.13865845,-84.50376416,OH,Yes
UColorado,513,516,520,3.89,695,8648,120,539,78,97,Public,39.74572667,-104.8359496,CO,
UConnecticut,511,513,517,3.85,463,3421,204,125,84,27,Public,41.72997239,-72.79121545,CT,
UHawai'i,510,513,517,3.88,220,1961,158,113,64,12,Public,21.29667218,-157.8635261,HI,No
UIowa,512,515,519,3.89,294,3094,236,493,100,52,Public,41.6629391,-91.54521012,IA,
UMaryland,509,514,518,3.86,1017,4446,260,225,119,28,Public,39.28905857,-76.62573914,MD,
UMassachusetts,512,516,519,3.89,1084,4037,486,553,133,66,Public,42.2787118,-71.76329657,MA,
UMichigan,515,518,521,3.9,1212,7658,119,326,85,78,Public,42.28419951,-83.7325313,MI,Yes
UNC,510,516,519,3.82,1070,4443,501,130,179,24,Public,35.90603106,-79.05237663,NC,
UPitt,512,516,520,3.87,843,7539,154,857,56,91,Private,40.44325931,-79.96136702,PA,
URochester,516,518,521,3.91,1344,4833,140,482,27,76,Private,43.1233126,-77.62698322,NY,
UTSW,514,517,520,3.93,4148,1331,674,104,202,29,Public,32.81590394,-96.844338,TX,
UVA,517,520,522,3.94,911,4387,154,448,72,80,Public,38.03179339,-78.50098403,VA,Yes
USF,516,519,522,3.93,2255,3204,440,507,84,98,Public,27.9441175,-82.44935863,FL,Yes
Vanderbilt,518,521,524,3.95,291,5798,42,656,10,84,Private,36.14239805,-86.8025487,TN,Yes
VT,510,513,517,3.7,841,5338,51,236,8,42,Private,37.25769058,-79.94260923,VA,Yes
Wake Forest,509,512,514,3.85,917,11143,141,359,56,89,Private,36.10021573,-80.24021725,NC,Yes
WUSTL,518,521,524,3.95,260,4979,32,974,5,106,Private,38.63529076,-90.26290744,MO,Yes
Weill Cornell,517,519,522,3.93,1231,5542,142,641,32,71,Private,40.76505907,-73.95479459,NY,Yes
Yale,518,522,524,3.95,220,5707,17,605,6,86,Private,41.30338792,-72.93387241,CT,Yes
EVMS,510,513,516,3.8,1116,6048,359,437,76,75,Public,36.86055358,-76.3035708,VA,Yes
Indiana University,508,512,517,3.9,735,5345,481,490,284,80,Public,39.80055515,-86.17615771,IN,
McGovern Houston,510,513,517,3.92,4295,1338,996,114,228,12,Public,29.71283503,-95.3972637,TX,No
OHSU,505,511,515,3.74,443,5769,242,300,108,42,Public,45.51967558,-122.6903232,OR,No
Rutgers NJ,512,516,519,3.85,1486,3917,512,162,145,28,Public,40.74022669,-74.18970965,NJ,
Rutgers RWJ,511,515,518,3.83,1469,4156,278,145,146,19,Public,40.5251763,-74.4701279,NJ,
Texas A&M,509,513,517,3.89,5368,302,447,107,173,26,Public,30.59842924,-96.39442157,TX,No
TT El Paso,509,514,517,3.93,3721,818,550,54,117,7,Public,31.77435485,-106.4322838,TX,No
TT Lubbock,507,512,516,3.93,4053,901,808,104,163,18,Public,33.59029287,-101.8908924,TX,No
UT Austin,512,515,519,3.92,4153,1115,356,12,45,5,Public,30.2757112,-97.73357093,TX,No
UT Tyler,499,505,510,3.84,3170,572,271,1,39,1,Public,32.31515846,-95.25195449,TX,No
UT San Antonio,516,518,521,3.93,4197,1154,875,226,205,27,Public,29.50760812,-98.57537509,TX,No
UHouston Tilman J. Fertitta,502,505,509,3.75,3960,920,306,27,58,2,Public,29.71160601,-95.3361502,TX,No
UIllinois,509,512,515,3.77,1568,6914,290,390,160,123,Public,41.87153537,-87.67348993,IL,
UMinnesota,506,511,516,3.84,897,5052,524,248,199,42,Public,44.97277017,-93.23351932,MN,
