School,Rank,USNWR Ranking Research,USNWR Primary Care Ranking,Applications,Interviews,Percent_interviewed,Admits,Percent_admitted_post_II,MCAT,GPA,AOA,AOA_before_match,Internal_rank,PC_grades,PC_length,Clerkship_grades,NBME_or_in_house,MSPE_adj,Lecture_attendance,Home_hospital,Apps IS,IS II,IS Accepted,IS enrolled,Apps OOS,OOS II,OOS Accepted,OOS enrolled,Total apps,TOTAL II,total accepted,Total enrolled,post II % A,IS % post II-A,OOS % post II-A,A % rate,Step 1,Step 1 % pass,step 2,step 2 pass,OOS II/OOS applicants,Public/Private,OOS/IS matriculants,Median MCAT,Median GPA,class size,% of students OOS,apply OOS to public state school?,IS_A,OOS_A,IS_A/OOS_A,State
Harvard Medical School,1.0,1,8,"8,002",851,11%,222,26%,521.0,3.96,No,No,No,P/F,1.5 Years,P/F,Both,No,Required,"Boston Children’s Hospital, Brigham and Women’s Hospital, Cambridge Health Alliance, Massachusetts General Hospital, Beth Israel Deaconess Medical Center",511.0,75.0,22.0,19.0,6197.0,723.0,212.0,149.0,6708.0,798.0,234.0,168.0,29.3,29.33,29.32,3.49%,245.0,100%,250.0,100%,11.67,Private,89%,520.0,3.94,165.0,90.30%,,4.305283757338552,3.421010166209456,1.2584831813314628,MA
Johns Hopkins,2.0,7,59,"4,548",576,13%,288,50%,521.0,3.96,Yes,No,No,P/F,1.5 Years,P/F,In-House Exams,No,Optional,"Johns Hopkins Hospital, Johns Hopkins Bayview Medical Center, Johns Hopkins All Children’s Hospital",265.0,46.0,21.0,13.0,3935.0,618.0,263.0,108.0,4200.0,664.0,284.0,121.0,42.8,45.65,42.56,6.76%,246.0,100%,250.0,100%,15.71,Private,89%,521.0,3.95,118.0,91.53%,,7.9245283018867925,6.683608640406607,1.1856661166511229,MD
UPenn (Perelman),3.0,9,24,"7,327",809,11%,281,35%,522.0,3.96,Yes,No,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,"HUP, Pennsylvania Hospital, Penn Presbyterian, VA, Children's Hospital of Philadelphia",510.0,74.0,25.0,19.0,4750.0,660.0,250.0,136.0,5260.0,734.0,275.0,155.0,37.5,33.78,37.88,5.23%,247.0,99%,252.0,100%,13.89,Private,88%,522.0,3.94,152.0,89.47%,,4.901960784313726,5.263157894736842,0.931372549019608,PA
Columbia University,4.0,4,66,"8,080",852,11%,293,34%,522.0,3.95,Yes,No,No,P/F,1.5 Years,H/HP/P/F,Both,No,Optional,Columbia University Irving Medical Center,1219.0,124.0,47.0,21.0,6074.0,733.0,253.0,119.0,7293.0,857.0,300.0,140.0,35.0,37.9,34.52,4.11%,238.0,98%,244.0,99%,12.07,Private,85%,522.0,3.92,138.0,86.23%,,3.855619360131255,4.165294698715838,0.9256534384757803,NY
Duke University,5.0,3,51,"9,071",672,7%,261,39%,520.0,3.92,No,No,No,P/F,1 Year,P/F,Both,No,Optional,Duke University Hospital,575.0,103.0,40.0,23.0,7047.0,571.0,238.0,98.0,7622.0,674.0,278.0,121.0,41.2,38.83,41.68,3.65%,241.0,99%,245.0,97%,8.1,Private,81%,519.0,3.89,129.0,75.97%,,6.956521739130435,3.377323683837094,2.059773474607234,NC
Stanford University,6.0,4,22,"11,325",500,4%,157,31%,519.0,3.92,No,No,No,P/F,2 Years,P/F,Both,Yes,Optional,Stanford University Hospital,2323.0,154.0,37.0,25.0,4477.0,315.0,118.0,65.0,6800.0,469.0,155.0,90.0,33.0,24.03,37.46,2.28%,243.0,100%,243.0,100%,7.04,Private,72%,519.0,3.89,90.0,72.22%,,1.5927679724494186,2.635693544784454,0.6043069671742413,CA
UCSF,7.0,4,2,"9,090",545,6%,255,47%,517.0,3.89,No,No,No,P/F,1.5 Years,P/F,Both,No,Optional,UCSF Health,3537.0,314.0,169.0,118.0,3808.0,193.0,116.0,43.0,7345.0,507.0,285.0,161.0,56.2,53.82,60.1,3.88%,238.0,100%,247.0,99%,5.07,Public,27%,518.0,3.86,178.0,24.16%,,4.778060503251343,3.046218487394958,1.5685219307225098,CA
Vanderbilt University,8.0,13,36,"7,269",727,10%,330,45%,521.0,3.95,No,No,No,P/F,1 Year,P/F,Both,Yes,Optional,"Vanderbilt Adult Hospital, Psych Hospital, Children’s Hospital, and Rehab hospital",295.0,33.0,28.0,23.0,5583.0,577.0,297.0,71.0,5878.0,610.0,325.0,94.0,53.3,84.85,51.47,5.53%,246.0,98%,251.0,100%,10.33,Private,76%,521.0,3.94,93.0,76.34%,,9.491525423728813,5.319720580333154,1.7842150316726588,TN
WashU St. Louis,9.0,11,59,"4,584","1,183",26%,344,29%,521.0,3.95,No,No,No,P/F,1.5 Years,H/P/F,Both,No,Optional,Barnes-Jewish Hospital,168.0,47.0,9.0,5.0,3527.0,1093.0,288.0,99.0,3695.0,1140.0,297.0,104.0,26.1,19.15,26.35,8.04%,241.0,98%,255.0,100%,30.99,Private,95%,521.0,3.94,124.0,79.84%,,5.357142857142857,8.16557981287213,0.656063988095238,MO
Weill Cornell Medicine,10.0,19,51,"7,926",782,10%,267,34%,519.0,3.93,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,No,Optional,NewYork-Presbyterian,1240.0,143.0,57.0,22.0,5642.0,670.0,236.0,84.0,6882.0,813.0,293.0,106.0,36.0,39.86,35.22,4.26%,236.0,98%,252.0,100%,11.88,Private,79%,519.0,3.91,106.0,79.25%,,4.596774193548387,4.182913860333215,1.0989406779661015,NY
NYU Grossman,11.0,2,41,"8,936","1,060",12%,219,21%,523.0,3.98,Yes,No,No,P/F,1 Year,H/HP/P/F,In-House Exams,Yes,Optional,"Tisch/Kimmel, Bellevue Hospital, VA Hospital",1291.0,135.0,33.0,20.0,7952.0,865.0,172.0,82.0,9243.0,1000.0,205.0,102.0,20.5,24.44,19.88,2.22%,244.0,99%,250.0,99%,10.88,Private,80%,522.0,3.95,101.0,81.19%,,2.5561580170410534,2.162977867203219,1.181777241366887,NY
Yale School of Medicine,12.0,10,59,"5,176",640,12%,297,46%,522.0,3.95,No,No,No,P/F,1.5 Years,P/F,NBME Based,No,Optional,Yale New Haven Hospital,203.0,34.0,15.0,11.0,4806.0,614.0,276.0,89.0,5009.0,648.0,291.0,100.0,44.9,44.12,44.95,5.81%,244.0,99%,248.0,97%,12.78,Private,89%,521.0,3.91,104.0,85.58%,,7.389162561576355,5.742821473158552,1.2866780895266654,CT
Mayo Clinic,13.0,11,41,"5,067",795,16%,227,29%,521.0,3.95,No,No,No,P/F,1.5 Years,H/HP/P/F,NBME Based,Yes,Optional,Mayo Clinic,667.0,79.0,28.0,21.0,5663.0,738.0,174.0,84.0,6330.0,817.0,202.0,105.0,24.7,35.44,23.58,3.19%,245.0,99%,245.0,100%,13.03,Private,80%,520.0,3.94,103.0,81.55%,,4.197901049475263,3.072576372947201,1.3662479105274952,MN
Northwestern University,14.0,15,39,"8,072",806,10%,398,49%,521.0,3.93,Yes,Yes,No,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,Northwestern Memorial Hospital,836.0,127.0,74.0,41.0,6216.0,674.0,329.0,119.0,7052.0,801.0,403.0,160.0,50.3,58.27,48.81,5.71%,244.0,99%,254.0,100%,10.84,Private,74%,520.0,3.91,160.0,74.38%,,8.851674641148326,5.292792792792793,1.6724015066680242,IL
University of Michigan,15.0,15,15,"9,401",408,4%,337,83%,518.0,3.9,Yes,Yes,Yes,P/F,1 Year,H/HP/P/F,In-House Exams,Yes,Optional,University Hospital,1240.0,104.0,91.0,72.0,7032.0,364.0,290.0,96.0,8272.0,468.0,381.0,168.0,81.4,87.5,79.67,4.61%,237.0,98%,251.0,99%,5.18,Public,57%,518.0,3.87,168.0,57.14%,YES,7.338709677419354,4.124004550625711,1.7795105672969966,MI
University of Pittsburgh,16.0,13,34,"7,099",931,13%,295,32%,516.0,3.87,No,No,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,No,Required,University of Pittsburgh Medical Center,829.0,156.0,84.0,55.0,6348.0,578.0,249.0,94.0,7177.0,734.0,333.0,149.0,45.4,53.85,43.08,4.64%,233.0,95%,249.0,99%,9.11,Private,63%,518.0,3.86,149.0,63.09%,,10.132689987937274,3.9224952741020793,2.5832255439126834,PA
University of Washington,17.0,7,1,"7,631",790,10%,344,44%,512.0,3.81,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Required,UW Medical Center,1386.0,632.0,310.0,252.0,6186.0,54.0,48.0,18.0,7572.0,686.0,358.0,270.0,52.2,49.05,88.89,4.73%,231.0,97%,245.0,99%,0.87,Public,7%,512.0,3.74,270.0,6.67%,,22.366522366522368,0.7759456838021339,28.8248556998557,WA
Icahn at Mount Sinai,18.0,17,69,"8,276",823,10%,282,34%,519.0,3.92,No,No,No,P/F,1.5 Years,H/P/F,NBME Based,No,Optional,The Mount Sinai Hospital,1357.0,216.0,83.0,38.0,5342.0,732.0,271.0,102.0,6699.0,948.0,354.0,140.0,37.3,38.43,37.02,5.28%,239.0,99%,251.0,99%,13.7,Private,73%,519.0,3.87,140.0,72.86%,,6.116433308769344,5.073006364657432,1.205682167359625,NY
UCLA,19.0,21,12,"13,072",894,7%,375,42%,514.0,3.85,No,No,No,P/F,1 Year,P/F,In-House Exams,No,Optional,UCLA Medical Center,5619.0,469.0,163.0,105.0,6165.0,360.0,170.0,70.0,11784.0,829.0,333.0,175.0,40.2,34.75,47.22,2.83%,235.0,97%,246.0,99%,5.84,Public,40%,516.0,3.84,175.0,40.00%,YES but low yield,2.9008720412884856,2.75750202757502,1.0519927137966774,CA
UChicago (Pritzker),20.0,17,34,"7,362",640,9%,237,37%,521.0,3.94,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,Both,No,Optional,University of Chicago Medicine,709.0,83.0,42.0,16.0,5440.0,548.0,209.0,74.0,6149.0,631.0,251.0,90.0,39.8,50.6,38.14,4.08%,242.0,99%,250.0,99%,10.07,Private,82%,521.0,3.93,90.0,82.22%,,5.923836389280677,3.8419117647058827,1.5418980840998506,IL
UCSD,21.0,19,28,"8,213",845,10%,278,33%,516.0,3.86,No,No,No,P/F,2 Years,H/NH/P/F,In-House Exams,No,Optional,UCSD Medical Center,4418.0,549.0,207.0,117.0,3328.0,223.0,70.0,17.0,7746.0,772.0,277.0,134.0,35.9,37.7,31.39,3.58%,235.0,100%,248.0,98%,6.7,Public,13%,517.0,3.83,133.0,12.78%,,4.685377999094613,2.1033653846153846,2.2275625687124103,CA
Baylor,22.0,22,17,"5,783",903,16%,295,33%,519.0,3.94,Yes,Yes,Yes,P/F,1.5 Years,P/F,NBME Based,Yes,Optional,Texas Medical Center,1888.0,581.0,257.0,156.0,4363.0,259.0,77.0,30.0,6251.0,840.0,334.0,186.0,39.8,44.23,29.73,5.34%,244.0,100%,252.0,100%,5.94,Private,16%,518.0,3.93,188.0,15.96%,,13.61228813559322,1.7648407059362825,7.713040666960158,TX
Emory University,23.0,22,36,"9,117",668,7%,304,46%,517.0,3.84,No,No,No,P/F,1.5 Years,P/F,In-House Exams,No,Optional,"Grady Memorial Hospital, Emory University Hospital",591.0,159.0,67.0,44.0,8428.0,502.0,241.0,92.0,9019.0,661.0,308.0,136.0,46.6,42.14,48.01,3.42%,239.0,99%,249.0,99%,5.96,Private,68%,517.0,3.8,136.0,67.65%,,11.336717428087987,2.859515899383009,3.9645582773413093,GA
UTSW,24.0,26,32,"4,137",844,20%,401,48%,517.0,3.93,Yes,Yes,Yes,P/F,1.5 Years,H/NH/HP/P/F,In-House Exams,No,Required,William P. Clements Jr. University Hospital,4137.0,676.0,349.0,192.0,1319.0,147.0,74.0,36.0,5456.0,823.0,423.0,228.0,51.4,51.63,50.34,7.75%,238.0,100%,251.0,99%,11.14,Public,16%,518.0,3.9,228.0,15.79%,,8.436064781242445,5.610310841546626,1.5036715468187547,TX
Case Western Reserve,25.0,25,74,"8,090","1,131",14%,529,47%,519.0,3.9,No,No,No,P/F,2 Years,H/HP/P/F,Both,No,Optional,"University Hospitals, Cleveland Clinic, MetroHealth Medical Center, and Louis Stokes VA Medical Center",761.0,122.0,64.0,34.0,7365.0,926.0,477.0,181.0,8126.0,1048.0,541.0,215.0,51.6,52.46,51.51,6.66%,237.0,98%,246.0,99%,12.57,Private,84%,519.0,3.86,215.0,84.19%,,8.409986859395532,6.4765784114052956,1.2985231282903165,OH
Colorado,26.0,27,6,"5,593",723,13%,304,42%,516.0,3.89,Yes,Yes,Yes,P/F,1 Year,H/HP/P/F,Both,No,Required,UC Hospital,679.0,136.0,85.0,66.0,9756.0,570.0,241.0,89.0,10435.0,706.0,326.0,155.0,46.2,62.5,42.28,3.12%,226.0,93%,245.0,100%,5.84,Public,57%,515.0,3.83,155.0,57.42%,YES but check out tuition,12.51840942562592,2.4702747027470275,5.067618355037613,CO
UNC,27.0,24,3,"6,289",691,11%,262,38%,516.0,3.82,Yes,Yes,,,,,NBME Based,,Required,,1062.0,504.0,205.0,159.0,5220.0,125.0,52.0,34.0,6282.0,629.0,257.0,193.0,40.9,40.67,41.6,4.09%,234.0,98%,249.0,100%,2.39,Public,18%,515.0,3.78,193.0,17.62%,no,19.303201506591336,0.996168582375479,19.377444589308993,NC
Ohio State University,28.0,33,28,"7,013",641,9%,420,66%,516.0,3.9,Yes,Yes,Yes,P/F,1.5 Years,P/F,Both,Yes,Optional,The Ohio State University Wexner Medical Center,1232.0,270.0,165.0,109.0,5877.0,303.0,214.0,96.0,7109.0,573.0,379.0,205.0,66.1,61.11,70.63,5.33%,232.0,97%,253.0,100%,5.16,Public,47%,517.0,3.92,205.0,46.83%,YES,13.392857142857142,3.641313595371788,3.6780290387182912,OH
USC (Keck),29.0,29,46,"8,920",665,7%,356,54%,517.0,3.86,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,NBME Based,Yes,Optional,"Los Angeles General Hospital, Keck Medical Center, USC Norris Cancer Research Hospital, and Children's Hospital of Los Angeles",3908.0,546.0,276.0,150.0,4477.0,196.0,103.0,36.0,8385.0,742.0,379.0,186.0,51.1,50.55,52.55,4.52%,236.0,99%,245.0,99%,4.38,Private,19%,517.0,3.76,186.0,19.35%,,7.062436028659161,2.30064775519321,3.0697598155637924,CA
Oregon University,30.0,29,4,"6,506",520,8%,250,48%,511.0,3.74,Yes,Yes,Yes,P/F,1.5 Years,P/F,NBME Based,Yes,Optional,OHSU Hospital,634.0,361.0,160.0,116.0,5921.0,205.0,81.0,34.0,6555.0,566.0,241.0,150.0,42.6,44.32,39.51,3.68%,226.0,96%,242.0,100%,3.46,Public,23%,512.0,3.77,160.0,21.25%,,25.236593059936908,1.36801216010809,18.447637963936597,OR
