Rank,School,Applications,Interviews,Percent_interviewed,Admits,Percent_admitted_post_II,MCAT,GPA
#1,Harvard Medical School,"8,002",851,11%,222,26%,521,3.96
#2,Johns Hopkins,"4,548",576,13%,288,50%,521,3.96
#3,UPenn (Perelman),"7,327",809,11%,281,35%,522,3.96
#4,Columbia University,"8,080",852,11%,293,34%,522,3.95
#5,Duke University,"9,071",672,7%,261,39%,520,3.92
#6,Stanford University,"11,325",500,4%,157,31%,519,3.92
#7,UCSF,"9,090",545,6%,255,47%,517,3.89
#8,Vanderbilt University,"7,269",727,10%,330,45%,521,3.95
#9,WashU St. Louis,"4,584","1,183",26%,344,29%,521,3.95
#10,Weill Cornell Medicine,"7,926",782,10%,267,34%,519,3.93
#11,NYU Grossman,"8,936","1,060",12%,219,21%,523,3.98
#12,Yale School of Medicine,"5,176",640,12%,297,46%,522,3.95
#13,Mayo Clinic,"5,067",795,16%,227,29%,521,3.95
#14,Northwestern University,"8,072",806,10%,398,49%,521,3.93
#15,University of Michigan,"9,401",408,4%,337,83%,518,3.90
#16,University of Pittsburgh,"7,099",931,13%,295,32%,516,3.87
#17,University of Washington,"7,631",790,10%,344,44%,512,3.81
#18,Icahn at Mount Sinai,"8,276",823,10%,282,34%,519,3.92
#19,UCLA,"13,072",894,7%,375,42%,514,3.85
#20,UChicago (Pritzker),"7,362",640,9%,237,37%,521,3.94
#21,UCSD,"8,213",845,10%,278,33%,516,3.86
#22,Baylor,"5,783",903,16%,295,33%,519,3.94
#23,Emory University,"9,117",668,7%,304,46%,517,3.84
#24,UTSW,"4,137",844,20%,401,48%,517,3.93
#25,Case Western Reserve,"8,090","1,131",14%,529,47%,519,3.90
#26,Colorado,"5,593",723,13%,304,42%,516,3.89
#27,UNC,"6,289",691,11%,262,38%,516,3.82
#28,Ohio State University,"7,013",641,9%,420,66%,516,3.90
#29,USC (Keck),"8,920",665,7%,356,54%,517,3.86
#30,Oregon University,"6,506",520,8%,250,48%,511,3.74
#31,University of Virginia,"4,687",568,12%,470,83%,520,3.94
#32,Boston University,"11,405",876,8%,465,53%,518,3.88
#33,University of Maryland,"5,792",534,9%,288,54%,514,3.86
#34,University of Rochester,"5,669",719,13%,318,44%,518,3.91
#35,Brown University,"11,049",395,4%,307,78%,517,3.87
