"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"Harvard","1","8","511","75","22","19","6197","723","212","149","6708","798","234","168","29.3","29.33","29.32","3.49%","245","100%","250","100%","11.67","Private - MA","89%","520","3.94"," "," ","165","90.30%"," "," "," "," "," "
"NYU","2","41","1291","135","33","20","7952","865","172","82","9243","1000","205","102","20.5","24.44","19.88","2.22%","244","99%","250","99%","10.88","Private - NY","80%","522","3.95"," "," ","101","81.19%"," "," "," "," "," "
"Duke","3","51","575","103","40","23","7047","571","238","98","7622","674","278","121","41.2","38.83","41.68","3.65%","241","99%","245","97%","8.10","Private-NC","81%","519","3.89"," "," ","129","75.97%"," "," "," "," "," "
"Columbia","4","66","1219","124","47","21","6074","733","253","119","7293","857","300","140","35.0","37.90","34.52","4.11%","238","98%","244","99%","12.07","Private - NY","85%","522","3.92"," "," ","138","86.23%"," "," "," "," "," "
"Stanford","4","22","2323","154","37","25","4477","315","118","65","6800","469","155","90","33.0","24.03","37.46","2.28%","243","100%","243","100%","7.04","Private - CA","72%","519","3.89"," "," ","90","72.22%"," "," "," "," "," "
"UC San Franscisco","4","2","3537","314","169","118","3808","193","116","43","7345","507","285","161","56.2","53.82","60.10","3.88%","238","100%","247","99%","5.07","Public - CA","27%","518","3.86"," "," ","178","24.16%"," "," "," "," "," "
"Johns Hopkins","7","59","265","46","21","13","3935","618","263","108","4200","664","284","121","42.8","45.65","42.56","6.76%","246","100%","250","100%","15.71","Private - MD","89%","521","3.95"," "," ","118","91.53%"," "," "," "," "," "
"University of Washington","7","1","1386","632","310","252","6186","54","48","18","7572","686","358","270","52.2","49.05","88.89","4.73%","231","97%","245","99%","0.87","Public - WA","7%","512","3.74"," "," ","270","6.67%"," "," "," "," "," "
"University of Pennsylvania (Perelman)","9","24","510","74","25","19","4750","660","250","136","5260","734","275","155","37.5","33.78","37.88","5.23%","247","99%","252","100%","13.89","Private-PA","88%","522","3.94"," "," ","152","89.47%"," "," "," "," "," "
"Yale","10","59","203","34","15","11","4806","614","276","89","5009","648","291","100","44.9","44.12","44.95","5.81%","244","99%","248","97%","12.78","Private - CT","89%","521","3.91"," "," ","104","85.58%"," "," "," "," "," "
"Mayo (Alix)","11","41","667","79","28","21","5663","738","174","84","6330","817","202","105","24.7","35.44","23.58","3.19%","245","99%","245","100%","13.03","Private - MN","80%","520","3.94"," "," ","103","81.55%"," "," "," "," "," "
"Wash U St. Louis","11","59","168","47","9","5","3527","1093","288","99","3695","1140","297","104","26.1","19.15","26.35","8.04%","241","98%","255","100%","30.99","Private - MO","95%","521","3.94"," "," ","124","79.84%"," "," "," "," "," "
"University of Pittsburgh","13","34","829","156","84","55","6348","578","249","94","7177","734","333","149","45.4","53.85","43.08","4.64%","233","95%","249","99%","9.11","Private-PA","63%","518","3.86"," "," ","149","63.09%"," "," "," "," "," "
"Vanderbilt","13","36","295","33","28","23","5583","577","297","71","5878","610","325","94","53.3","84.85","51.47","5.53%","246","98%","251","100%","10.33","Private-TN","76%","521","3.94"," "," ","93","76.34%"," "," "," "," "," "
"Michigan","15","15","1240","104","91","72","7032","364","290","96","8272","468","381","168","81.4","87.50","79.67","4.61%","237","98%","251","99%","5.18","Public - WI","57%","518","3.87"," "," ","168","57.14%","YES"," "," "," "," "
"Northwestern Feinberg","15","39","836","127","74","41","6216","674","329","119","7052","801","403","160","50.3","58.27","48.81","5.71%","244","99%","254","100%","10.84","Private-IL","74%","520","3.91"," "," ","160","74.38%"," "," "," "," "," "
"Icahn Mt. Sinai","17","69","1357","216","83","38","5342","732","271","102","6699","948","354","140","37.3","38.43","37.02","5.28%","239","99%","251","99%","13.70","Private - NY","73%","519","3.87"," "," ","140","72.86%"," "," "," "," "," "
"University of Chicago Pritzker","17","34","709","83","42","16","5440","548","209","74","6149","631","251","90","39.8","50.60","38.14","4.08%","242","99%","250","99%","10.07","Private - IL","82%","521","3.93"," "," ","90","82.22%"," "," "," "," "," "
"Cornell (Weill)","19","51","1240","143","57","22","5642","670","236","84","6882","813","293","106","36.0","39.86","35.22","4.26%","236","98%","252","100%","11.88","Private-NY","79%","519","3.91"," "," ","106","79.25%"," "," "," "," "," "
"UC San Diego","19","28","4418","549","207","117","3328","223","70","17","7746","772","277","134","35.9","37.70","31.39","3.58%","235","100%","248","98%","6.70","Public - CA","13%","517","3.83"," "," ","133","12.78%"," "," "," "," "," "
"UCLA","21","12","5619","469","163","105","6165","360","170","70","11784","829","333","175","40.2","34.75","47.22","2.83%","235","97%","246","99%","5.84","Public - CA","40%","516","3.84"," "," ","175","40.00%","YES but low yield"," "," "," "," "
"Baylor","22","17","1888","581","257","156","4363","259","77","30","6251","840","334","186","39.8","44.23","29.73","5.34%","244","100%","252","100%","5.94","Private-TX","16%","518","3.93"," "," ","188","15.96%"," "," "," "," "," "
"Emory","22","36","591","159","67","44","8428","502","241","92","9019","661","308","136","46.6","42.14","48.01","3.42%","239","99%","249","99%","5.96","Private_GA","68%","517","3.8"," "," ","136","67.65%"," "," "," "," "," "
"University of North Carolina","24","3","1062","504","205","159","5220","125","52","34","6282","629","257","193","40.9","40.67","41.60","4.09%","234","98%","249","100%","2.39","Public - NC","18%","515","3.78"," "," ","193","17.62%","no"," "," "," "," "
"Case Western Reserve","25","74","761","122","64","34","7365","926","477","181","8126","1048","541","215","51.6","52.46","51.51","6.66%","237","98%","246","99%","12.57","Private-OH","84%","519","3.86"," "," ","215","84.19%"," "," "," "," "," "
"UT Southwestern","26","32","4137","676","349","192","1319","147","74","36","5456","823","423","228","51.4","51.63","50.34","7.75%","238","100%","251","99%","11.14","Public - TX","16%","518","3.9"," "," ","228","15.79%"," "," "," "," "," "
"Colorado","27","6","679","136","85","66","9756","570","241","89","10435","706","326","155","46.2","62.50","42.28","3.12%","226","93%","245","100%","5.84","Public - CO","57%","515","3.83"," "," ","155","57.42%","YES but check out tuition"," "," "," "," "
"U Maryland","27","16","908","266","180","109","3976","275","105","43","4884","541","285","152","52.7","67.67","38.18","5.84%","232","98%","244","99%","6.92","Public - MD","28%","514","3.83"," "," ","152","28.29%","Yes"," "," "," "," "
"Oregon","29","4","634","361","160","116","5921","205","81","34","6555","566","241","150","42.6","44.32","39.51","3.68%","226","96%","242","100%","3.46","Public - OR","23%","512","3.77"," "," ","160","21.25%"," "," "," "," "," "
"USC - Keck","29","46","3908","546","276","150","4477","196","103","36","8385","742","379","186","51.1","50.55","52.55","4.52%","236","99%","245","99%","4.38","Private - CA","19%","517","3.76"," "," ","186","19.35%"," "," "," "," "," "
"University of Virginia","31","19","641","133","116","73","3192","451","353","82","3833","584","469","155","80.3","87.22","78.27","12.24%","238","99%","256","99%","14.13","Public - VA","53%","520","3.93"," "," ","156","52.56%","Yes"," "," "," "," "
"Alabama - Birmingham","32","21","537","279","184","157","4076","206","100","29","4613","485","284","186","58.6","65.95","48.54","6.16%","233","98%","243","99%","5.05","Public - AL","16%","510","3.86"," "," ","202","14.36%"," "," "," "," "," "
"Boston University","33","44","729","159","78","33","7355","846","393","119","8084","1005","471","152","46.9","49.06","46.45","5.83%","238","99%","250","99%","11.50","Private-MA","78%","518","3.86"," "," ","152","78.29%"," "," "," "," "," "
"Ohio State","33","28","1232","270","165","109","5877","303","214","96","7109","573","379","205","66.1","61.11","70.63","5.33%","232","97%","253","100%","5.16","Public - OH","47%","517","3.92"," "," ","205","46.83%","YES"," "," "," "," "
"Wisconsin","33","12","712","351","162","131","4367","211","132","40","5079","562","294","171","52.3","46.15","62.56","5.79%","238","100%","248","99%","4.83","Public - WI","23%","513","3.8"," "," ","171","23.39%"," "," "," "," "," "
"Brown - Alpert","36","19","105","20","20","15","9033","355","270","129","9138","375","290","144","77.3","100.00","76.06","3.17%","234","100%","250","98%","3.93","Private-RI","90%","517","3.83"," "," ","144","89.58%"," "," "," "," "," "
"University of Florida","36","51","2430","317","182","112","2215","78","52","23","4645","395","234","135","59.2","57.41","66.67","5.04%","234","97%","251","100%","3.52","Public - FL","17%","515","3.9"," "," ","135","17.04%"," "," "," "," "," "
"Rochester","36","14","1208","144","82","33","3950","463","218","69","5158","607","300","102","49.4","56.94","47.08","5.82%","232","99%","246","100%","11.72","Private-NY","68%","518","3.84"," "," ","102","67.65%"," "," "," "," "," "
"Albert Einstein","39","69","1645","354","141","92","6432","584","216","91","8077","938","357","183","38.1","39.83","36.99","4.42%","237","99%","247","99%","9.08","Private - NY","50%","515","3.81"," "," ","183","49.73%"," "," "," "," "," "
"Iowa","39","22","333","242","125","104","3691","481","159","48","4024","723","284","152","39.3","51.65","33.06","7.06%","235","99%","243","99%","13.03","Public - IA","32%","515","3.86"," "," ","152","31.58%","YES"," "," "," "," "
