"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"1","Harvard Medical School",511,75,22,19,6197,723,212,149,6708,798,234,168,29.3,29.33,29.32,3.49,11.67,"Private",89,520,3.94,165,90.3,"Yes",4.30528375733855,3.42101016620946,1.25848318133146,"MA"
"2","Johns Hopkins",265,46,21,13,3935,618,263,108,4200,664,284,121,42.8,45.65,42.56,6.76,15.71,"Private",89,521,3.95,118,91.53,"Yes",7.92452830188679,6.68360864040661,1.18566611665112,"MD"
"3","UPenn (Perelman)",510,74,25,19,4750,660,250,136,5260,734,275,155,37.5,33.78,37.88,5.23,13.89,"Private",88,522,3.94,152,89.47,"Yes",4.90196078431373,5.26315789473684,0.931372549019608,"PA"
"4","Columbia University",1219,124,47,21,6074,733,253,119,7293,857,300,140,35,37.9,34.52,4.11,12.07,"Private",85,522,3.92,138,86.23,"Yes",3.85561936013125,4.16529469871584,0.92565343847578,"NY"
"5","Duke University",575,103,40,23,7047,571,238,98,7622,674,278,121,41.2,38.83,41.68,3.65,8.1,"Private",81,519,3.89,129,75.97,"Yes",6.95652173913043,3.37732368383709,2.05977347460723,"NC"
"6","Stanford University",2323,154,37,25,4477,315,118,65,6800,469,155,90,33,24.03,37.46,2.28,7.04,"Private",72,519,3.89,90,72.22,"Yes",1.59276797244942,2.63569354478445,0.604306967174241,"CA"
"7","UCSF",3537,314,169,118,3808,193,116,43,7345,507,285,161,56.2,53.82,60.1,3.88,5.07,"Public",27,518,3.86,178,24.16,NA,4.77806050325134,3.04621848739496,1.56852193072251,"CA"
"8","Vanderbilt University",295,33,28,23,5583,577,297,71,5878,610,325,94,53.3,84.85,51.47,5.53,10.33,"Private",76,521,3.94,93,76.34,"Yes",9.49152542372881,5.31972058033315,1.78421503167266,"TN"
"9","WashU St. Louis",168,47,9,5,3527,1093,288,99,3695,1140,297,104,26.1,19.15,26.35,8.04,30.99,"Private",95,521,3.94,124,79.84,"Yes",5.35714285714286,8.16557981287213,0.656063988095238,"MO"
"10","Weill Cornell Medicine",1240,143,57,22,5642,670,236,84,6882,813,293,106,36,39.86,35.22,4.26,11.88,"Private",79,519,3.91,106,79.25,"Yes",4.59677419354839,4.18291386033322,1.0989406779661,"NY"
"11","NYU Grossman",1291,135,33,20,7952,865,172,82,9243,1000,205,102,20.5,24.44,19.88,2.22,10.88,"Private",80,522,3.95,101,81.19,"Yes",2.55615801704105,2.16297786720322,1.18177724136689,"NY"
"12","Yale School of Medicine",203,34,15,11,4806,614,276,89,5009,648,291,100,44.9,44.12,44.95,5.81,12.78,"Private",89,521,3.91,104,85.58,"Yes",7.38916256157635,5.74282147315855,1.28667808952667,"CT"
"13","Mayo Clinic",667,79,28,21,5663,738,174,84,6330,817,202,105,24.7,35.44,23.58,3.19,13.03,"Private",80,520,3.94,103,81.55,"Yes",4.19790104947526,3.0725763729472,1.3662479105275,"MN"
"14","Northwestern University",836,127,74,41,6216,674,329,119,7052,801,403,160,50.3,58.27,48.81,5.71,10.84,"Private",74,520,3.91,160,74.38,"Yes",8.85167464114833,5.29279279279279,1.67240150666802,"IL"
"15","University of Michigan",1240,104,91,72,7032,364,290,96,8272,468,381,168,81.4,87.5,79.67,4.61,5.18,"Public",57,518,3.87,168,57.14,"Yes",7.33870967741935,4.12400455062571,1.779510567297,"MI"
"16","University of Pittsburgh",829,156,84,55,6348,578,249,94,7177,734,333,149,45.4,53.85,43.08,4.64,9.11,"Private",63,518,3.86,149,63.09,"Yes",10.1326899879373,3.92249527410208,2.58322554391268,"PA"
